Latitude,Longitude,Altitude,Satelites
37.637966,-7.661816,18.60,9
37.637965,-7.661815,18.60,9
37.637964,-7.661815,18.30,9
37.637961,-7.661816,18.30,9
37.637961,-7.661816,18.20,8
37.637958,-7.661817,18.20,8
37.637958,-7.661818,18.20,8
37.637958,-7.661818,17.70,9
37.637945,-7.661822,17.70,9
37.637943,-7.661822,17.70,9
37.637943,-7.661822,20.80,9
37.637943,-7.661821,20.80,9
37.637945,-7.661820,20.80,9
37.637942,-7.661821,20.50,9
37.637941,-7.661819,21.30,9
37.637941,-7.661819,21.30,9
37.637938,-7.661818,21.30,9
37.637940,-7.661816,21.30,9
37.637942,-7.661815,21.30,9
37.637943,-7.661816,21.30,9
37.637948,-7.661814,21.30,9
37.637952,-7.661810,21.30,9
37.637952,-7.661810,18.30,8
37.637954,-7.661810,18.30,8
37.637958,-7.661809,18.30,8
37.637958,-7.661809,16.80,8
37.637959,-7.661808,16.80,8
37.637961,-7.661806,16.80,8
37.637961,-7.661806,16.30,9
37.637966,-7.661802,16.30,9
37.637967,-7.661801,16.30,9
37.637966,-7.661801,16.30,9
37.637966,-7.661800,16.30,9
37.637966,-7.661800,14.40,8
37.637966,-7.661799,14.40,8
37.637966,-7.661798,14.40,8
37.637965,-7.661796,14.40,8
37.637964,-7.661795,14.40,8
37.637964,-7.661795,14.30,7
37.637964,-7.661794,14.30,7
37.637962,-7.661795,14.30,7
37.637963,-7.661793,14.80,7
37.637964,-7.661792,14.80,7
37.637965,-7.661793,14.80,7
37.637966,-7.661796,14.80,7
37.637966,-7.661798,14.70,7
37.637966,-7.661798,14.70,7
37.637966,-7.661798,14.90,8
37.637967,-7.661798,14.90,8
37.637967,-7.661798,14.90,8
37.637971,-7.661796,14.10,7
37.637973,-7.661798,14.10,7
37.637973,-7.661798,11.50,8
37.637977,-7.661799,11.50,8
37.637979,-7.661797,11.50,8
37.637979,-7.661797,8.90,7
37.637980,-7.661796,8.90,7
37.637982,-7.661796,8.90,7
37.637982,-7.661793,8.90,7
37.637982,-7.661792,8.90,7
37.637982,-7.661792,7.40,9
